id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.94,112968969605,4,193828428641,5121713530.0,1.96,1.83,0.084617,4.55879,4745175864.0,4.3846,58274974538.0,99986277500.0,100000000000.0,3.28,-41.13678,2025-01-16T17:00:22.630Z,0.00194619,99249.59657,2013-08-16T00:00:00.000Z,,2025-04-04T20:28:17.063Z,2025-04-04 13:28:23.038384
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,545.74,79528398579,5,79528398579,696223025.0,547.7,528.74,13.61,2.55856,1752870393.0,2.25376,145887575.79,145887575.79,200000000.0,751.34,-27.66715,2024-12-04T10:35:25.220Z,0.03359941,1617386.70656,2017-10-19T00:00:00.000Z,,2025-04-04T20:28:17.885Z,2025-04-04 13:28:23.038384
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,112.05,57550016601,6,66861310998,5515378706.0,112.58,102.92,7.6,7.27756,3792640062.0,7.05511,514449911.529926,597685240.7612484,,285.6,-60.94549,2025-01-19T11:15:27.957Z,0.46316,23982.39055,2020-05-11T19:35:23.449Z,,2025-04-04T20:28:21.161Z,2025-04-04 13:28:23.038384
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.91414,55479102423,7,55517438762,8910398307.0,0.91494,0.900326,0.00772634,0.85241,341343875.0,0.61907,60691568514.55579,60733506693.28579,,14.76,-93.81386,2025-01-23T04:45:51.184Z,0.730265,25.03041,2021-05-19T13:14:05.611Z,,2025-04-04T20:28:20.656Z,2025-04-04 13:28:23.038384
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.154732,22979884731,8,22981961693,1531825245.0,0.156826,0.143268,0.01146316,8.00118,1596301955.0,7.46508,148702566383.7052,148716006383.7052,,0.601466,-74.38824,2021-05-08T05:08:23.458Z,7.662e-05,200961.35932,2015-05-06T00:00:00.000Z,,2025-04-04T20:28:18.428Z,2025-04-04 13:28:23.038384
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.602213,21660764489,9,27078996254,863785124.0,0.607553,0.569161,0.02261489,3.90183,767054484.0,3.67122,35995957636.81128,45000000000.0,45000000000.0,2.61,-76.96986,2021-09-02T06:00:10.474Z,0.01722339,3385.47171,2020-03-13T02:22:55.044Z,,2025-04-04T20:28:16.698Z,2025-04-04 13:28:23.038384
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.219109,20790519873,10,20790525079,552314862.0,0.221125,0.213321,0.0057882,2.71337,485864985.0,2.39287,94979869949.31204,94979893729.20947,,0.410308,-46.82184,2024-12-04T00:10:40.323Z,0.00154713,14003.21349,2017-11-12T00:00:00.000Z,"{'times': 125.13802709446958, 'currency': 'usd', 'percentage': 12513.802709446958}",2025-04-04T20:28:19.581Z,2025-04-04 13:28:23.038384
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1651.66,15446044092,11,15446044092,19100680.0,1666.98,1599.72,38.5,2.3869,284799578.0,1.87847,9371388.164874518,9371388.164874518,,4188.52,-60.67557,2021-11-12T02:16:02.325Z,394.87,317.1322,2020-12-22T04:08:21.854Z,,2025-04-04T20:28:16.525Z,2025-04-04 13:28:23.038384
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,76409.0,9847049142,12,9847049142,309404146.0,77114.0,73940.0,2339.51,3.15853,279865238.0,2.92526,128915.05657878,128915.05657878,128915.05657878,105131.0,-27.49017,2025-01-20T07:16:27.137Z,2801.21,2621.32747,2019-04-02T00:00:00.000Z,,2025-04-04T20:28:20.362Z,2025-04-04 13:28:23.038384
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,8.72,8061152711,13,8597314467,4217519.0,8.74,8.44,0.226972,2.6709,197222307.0,2.50794,923796160.9,985239504.0,,9.68,-10.11258,2025-03-02T17:40:34.261Z,0.715663,1116.38178,2019-12-31T12:19:48.870Z,,2025-04-04T20:28:21.556Z,2025-04-04 13:28:23.038384
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.08,7619967923,14,15795361527,241044673.0,3.27,3.04,-0.1608555641031177,-4.96146,-432117370.42595387,-5.36653,2473069465.25885,5126402982.243922,,7.7,-59.99936,2024-06-15T00:36:51.509Z,0.44288,595.22376,2021-09-21T00:33:11.092Z,,2025-04-04T20:28:18.004Z,2025-04-04 13:28:23.038384
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,11.81,7525314957,15,11793316555,547914214.0,11.97,11.24,0.371662,3.25007,205306376.0,2.80473,638099971.4505637,1000000000.0,1000000000.0,43.32,-72.86152,2021-05-10T00:13:57.214Z,0.125048,9300.72284,2017-11-29T00:00:00.000Z,,2025-04-04T20:28:17.992Z,2025-04-04 13:28:23.038384
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.236457,7275123964,16,11818586284,164554764.0,0.240559,0.229352,0.00346696,1.48803,72835585.0,1.01128,30779417210.50917,50001786892.81792,50001786892.81792,0.729104,-67.67769,2018-01-03T00:00:00.000Z,0.00043158,54504.85906,2015-03-05T00:00:00.000Z,,2025-04-04T20:28:17.884Z,2025-04-04 13:28:23.038384
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.914134,7249531983,17,7249531983,12313928.0,0.914735,0.900204,0.00770662,0.85022,2505750.0,0.03458,7930490039.355793,7930490039.355793,,0.99869,-8.47668,2025-01-13T15:26:08.505Z,0.859375,6.36031,2024-10-03T13:19:28.826Z,,2025-04-04T20:28:18.456Z,2025-04-04 13:28:23.038384
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,1983.27,7109576695,18,7109576695,26742034.0,1996.6,1914.6,46.66,2.40911,157057279.0,2.259,3584778.484173984,3584778.484173984,,6978.69,-71.67035,2022-05-13T15:09:54.509Z,538.08,267.42514,2022-05-13T01:36:45.053Z,,2025-04-04T20:28:19.912Z,2025-04-04 13:28:23.038384
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,16.52,6843407042,19,7447710130,328287714.0,17.04,16.01,0.260263,1.60069,73732460.0,1.08916,415262231.1950707,451931721.599735,720000000.0,128.43,-87.17971,2021-11-21T14:18:56.538Z,2.28,621.43691,2020-12-31T13:15:21.540Z,,2025-04-04T20:28:15.640Z,2025-04-04 13:28:23.038384
